"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PGSC0003DMT400000089",637.26013763772,-1.65811829616341,0.346353159626417,-4.7873629850869,1.68987030592372e-06,0.000113893266799638
"PGSC0003DMT400000094",2.48026321816582,-1.42880455870701,1.45532134190889,-0.981779430811412,0.326208523710535,NA
"PGSC0003DMT400000098",2.8291474639386,1.57959869036544,1.28500972148431,1.22925038149972,0.218977944543345,NA
"PGSC0003DMT400000107",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000108",732.364584454033,0.256018366028123,0.255250307860207,1.00300903914418,0.315856499975502,0.675640062861504
"PGSC0003DMT400000110",0.156788550810817,-1.23112460513656,4.0804728567969,-0.301711259538428,0.762872184185381,NA
"PGSC0003DMT400000116",209.235053005907,-0.199096011731917,0.242445408827906,-0.821199348316967,0.411532727677043,0.751770746316533
"PGSC0003DMT400000118",1.54148420565462,-0.971488635919714,1.97926741599867,-0.490832430255279,0.623544970776356,NA
"PGSC0003DMT400000120",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000123",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000126",0.34355181796045,-2.05908722953426,3.58020125913406,-0.575131698052162,0.565202231668428,NA
"PGSC0003DMT400000129",38.2670683140326,-0.917998474993274,0.41518424061313,-2.21106290941488,0.027031480970975,0.18451033602158
"PGSC0003DMT400000130",28.4525716815743,-0.060695898088726,0.495370459537814,-0.122526276890544,0.902482236822267,0.971192585578631
"PGSC0003DMT400000135",5.74348328231594,1.51649425248437,1.11329606584996,1.36216618292509,0.173145445486158,0.524751008551523
"PGSC0003DMT400000136",0.409938598493761,-2.27966353232247,4.02533465658252,-0.566328945742337,0.571170186862983,NA
"PGSC0003DMT400000143",152.775378776847,-0.0601202431231923,0.261136470627005,-0.230225379774951,0.817916641286366,0.943097971334508
"PGSC0003DMT400000146",59.0937932176396,-0.399470040429825,0.35544895817967,-1.12384642362042,0.261078183286712,0.626656466172622
"PGSC0003DMT400000151",46.2616969013401,-0.0521324422141156,0.563691015691567,-0.0924840750746341,0.926313443240683,0.977388567720734
"PGSC0003DMT400000152",423.276619576144,0.460937168256609,0.496748772838671,0.927908016002903,0.353455285961377,0.708684103694856
"PGSC0003DMT400000154",349.01817174916,0.699078196774987,0.244453702137044,2.85975704464101,0.00423965676362291,0.0549006687870352
"PGSC0003DMT400000156",135.486668082666,0.0628594456300153,0.300327749753942,0.209302822271721,0.834211848717081,0.948202153787113
"PGSC0003DMT400000158",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000163",12.0116258612672,-0.720196285659941,0.57139509332463,-1.26041734357486,0.207518848332401,0.569144673885871
"PGSC0003DMT400000167",0.87724468446704,0.197943978889875,2.39175643787331,0.0827609265539938,0.934041638592441,NA
"PGSC0003DMT400000170",226.573569292127,-0.211962469742324,0.306010660693238,-0.692663677997829,0.488520638365849,0.8044425556161
"PGSC0003DMT400000171",0.624094636784095,1.215504589817,2.62158944256054,0.463651771739588,0.642897255783116,NA
"PGSC0003DMT400000176",61.3852778028816,0.049670476650967,0.335350082166034,0.148115295902551,0.882251778206544,0.964259196058332
"PGSC0003DMT400000186",41.0162048328664,-0.397488850586945,0.45878880979794,-0.866387414204822,0.386277743520206,0.733357956229611
"PGSC0003DMT400000189",3860.14027440663,0.444652306564095,0.277614581431035,1.60168930706745,0.109224330887114,0.414592310522505
"PGSC0003DMT400000192",306.27286345031,0.852801790798958,0.238510635716059,3.57552940244643,0.000349519889013346,0.0084991917329822
"PGSC0003DMT400000194",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000196",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000197",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000200",0,NA,NA,NA,NA,NA
"PGSC0003DMT400000205",0.252195701958794,1.48572517440769,4.03724957136307,0.368004293057878,0.712870033087818,NA
